Id,Receiving Time,Generated Time,Service Facility,IPv4 Address,DeviceVendor,DeviceProduct,DeviceVersion,SignatureID,Name,Severity,EventId
72,2021-08-04 15:53:0,2021-08-04 15:53:01,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,72
73,2021-08-04 15:53:0,2021-08-04 15:53:01,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,73
74,2021-08-04 15:53:0,2021-08-04 15:53:01,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,74
75,2021-08-04 15:53:0,2021-08-04 15:53:01,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,75
76,2021-08-04 15:53:0,2021-08-04 15:53:01,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,76
77,2021-08-04 15:53:0,2021-08-04 15:53:01,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,77
78,2021-08-04 15:53:0,2021-08-04 15:53:01,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,78
79,2021-08-04 15:53:0,2021-08-04 15:53:01,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,79
80,2021-08-04 15:53:0,2021-08-04 15:53:01,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,80
81,2021-08-04 15:53:0,2021-08-04 15:53:06,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,81
82,2021-08-04 15:53:0,2021-08-04 15:53:06,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,82
83,2021-08-04 15:53:0,2021-08-04 15:53:06,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,83
84,2021-08-04 15:53:0,2021-08-04 15:53:06,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,84
