['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:30 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=192.168.90.11 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:37\tSyslog.Info\t172.20.0.10\tAug  4 15:53:33 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=192.168.10.220 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:58:37\tSyslog.Info\t172.20.0.10\tAug  4 15:58:32 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=172.20.0.30 (FS) msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 16:01:18\tSyslog.Info\t172.20.0.10\tAug  4 16:01:15 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=172.20.0.20 (AD) msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 16:02:38\tSyslog.Info\t172.20.0.10\tAug  4 16:02:36 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=172.19.0.32 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 16:02:58\tSyslog.Info\t172.20.0.10\tAug  4 16:02:56 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=172.19.0.34 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 16:03:03\tSyslog.Info\t172.20.0.10\tAug  4 16:02:59 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=172.19.0.35 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 16:03:03\tSyslog.Info\t172.20.0.10\tAug  4 16:03:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=172.19.0.37 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 16:03:14\tSyslog.Info\t172.20.0.10\tAug  4 16:03:10 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=192.168.90.10 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 16:03:19\tSyslog.Info\t172.20.0.10\tAug  4 16:03:16 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=172.19.0.38 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 16:03:24\tSyslog.Info\t172.20.0.10\tAug  4 16:03:21 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=192.168.90.12 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 19:15:31\tSyslog.Info\t172.20.0.10\tAug  4 19:15:30 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=172.19.0.37 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 09:59:42\tSyslog.Info\t172.20.0.10\tAug  5 09:59:39 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=172.19.0.34 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 10:06:17\tSyslog.Info\t172.20.0.10\tAug  5 10:06:19 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=172.19.0.34 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
