['2021-08-04 15:50:35\tSyslog.Info\t172.20.0.10\tAug  4 15:50:33 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:50:35\tSyslog.Info\t172.20.0.10\tAug  4 15:50:33 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:50:35\tSyslog.Info\t172.20.0.10\tAug  4 15:50:33 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:50:35\tSyslog.Info\t172.20.0.10\tAug  4 15:50:33 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:51:35\tSyslog.Info\t172.20.0.10\tAug  4 15:51:34 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:51:50\tSyslog.Info\t172.20.0.10\tAug  4 15:51:45 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:51:50\tSyslog.Info\t172.20.0.10\tAug  4 15:51:49 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:51:50\tSyslog.Info\t172.20.0.10\tAug  4 15:51:49 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:51:55\tSyslog.Info\t172.20.0.10\tAug  4 15:51:55 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:52:36\tSyslog.Info\t172.20.0.10\tAug  4 15:52:30 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
