['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:28 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.80.2 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:28 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.35 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:29 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.39 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:30 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.90.11 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:37\tSyslog.Info\t172.20.0.10\tAug  4 15:53:33 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.10.220 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 16:33:34\tSyslog.Info\t172.20.0.10\tAug  4 16:33:32 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.90.11 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 16:33:45\tSyslog.Info\t172.20.0.10\tAug  4 16:33:41 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.90.11 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 16:34:25\tSyslog.Info\t172.20.0.10\tAug  4 16:34:24 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.90.11 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 16:34:35\tSyslog.Info\t172.20.0.10\tAug  4 16:34:32 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.90.11 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 16:38:35\tSyslog.Info\t172.20.0.10\tAug  4 16:38:34 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.90.11 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 16:38:46\tSyslog.Info\t172.20.0.10\tAug  4 16:38:43 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.90.11 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 17:53:09\tSyslog.Info\t172.20.0.10\tAug  4 17:53:08 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.20.0.30 (FS) msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 19:15:31\tSyslog.Info\t172.20.0.10\tAug  4 19:15:30 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.37 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 19:15:36\tSyslog.Info\t172.20.0.10\tAug  4 19:15:31 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.37 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 19:20:22\tSyslog.Info\t172.20.0.10\tAug  4 19:20:21 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.37 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 09:43:57\tSyslog.Info\t172.20.0.10\tAug  5 09:43:52 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.20.0.30 (FS) msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 09:45:38\tSyslog.Info\t172.20.0.10\tAug  5 09:45:32 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.37 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 09:59:42\tSyslog.Info\t172.20.0.10\tAug  5 09:59:39 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.34 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 10:04:27\tSyslog.Info\t172.20.0.10\tAug  5 10:04:26 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.34 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 10:06:17\tSyslog.Info\t172.20.0.10\tAug  5 10:06:19 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.34 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 10:09:58\tSyslog.Info\t172.20.0.10\tAug  5 10:09:58 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.34 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 10:11:08\tSyslog.Info\t172.20.0.10\tAug  5 10:11:11 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.34 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 11:08:38\tSyslog.Info\t172.20.0.10\tAug  5 11:08:41 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.20.0.30 (FS) msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 11:39:04\tSyslog.Info\t172.20.0.10\tAug  5 11:39:04 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.20.0.10 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 11:45:35\tSyslog.Info\t172.20.0.10\tAug  5 11:45:36 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.10.220 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 12:13:32\tSyslog.Info\t172.20.0.10\tAug  5 12:12:15 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.34 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 12:14:05\tSyslog.Info\t172.20.0.10\tAug  5 12:14:07 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.20.0.30 (FS) msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
