['2021-08-04 16:22:12\tSyslog.Info\t172.20.0.10\tAug  4 16:21:07 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:31:49\tSyslog.Info\t172.20.0.10\tAug  4 16:22:28 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:31:49\tSyslog.Info\t172.20.0.10\tAug  4 16:23:45 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:31:49\tSyslog.Info\t172.20.0.10\tAug  4 16:25:05 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:31:49\tSyslog.Info\t172.20.0.10\tAug  4 16:26:26 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:31:49\tSyslog.Info\t172.20.0.10\tAug  4 16:27:42 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:31:49\tSyslog.Info\t172.20.0.10\tAug  4 16:28:59 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:31:49\tSyslog.Info\t172.20.0.10\tAug  4 16:30:20 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:31:49\tSyslog.Info\t172.20.0.10\tAug  4 16:31:36 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:41:21\tSyslog.Info\t172.20.0.10\tAug  4 16:32:53 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:41:21\tSyslog.Info\t172.20.0.10\tAug  4 16:34:14 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:41:21\tSyslog.Info\t172.20.0.10\tAug  4 16:35:30 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:41:21\tSyslog.Info\t172.20.0.10\tAug  4 16:36:51 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:41:21\tSyslog.Info\t172.20.0.10\tAug  4 16:38:07 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:41:21\tSyslog.Info\t172.20.0.10\tAug  4 16:39:24 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:41:21\tSyslog.Info\t172.20.0.10\tAug  4 16:40:45 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:51:08\tSyslog.Info\t172.20.0.10\tAug  4 16:42:01 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:51:08\tSyslog.Info\t172.20.0.10\tAug  4 16:43:18 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:51:08\tSyslog.Info\t172.20.0.10\tAug  4 16:44:38 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:51:08\tSyslog.Info\t172.20.0.10\tAug  4 16:45:55 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
